category,part_number,description,manufacturer,supplier,supplier_url,unit_price_usd,quantity,extended_price_usd,corpus_citation,notes
# Free Humanoid Platform — Leg v0.1 reference BOM (single leg),,,,,,,,,,
# REFERENCE BOM — NOT VALIDATED BY PHYSICAL BUILD. All prices ~2026 retail USD at unit-quantity-1 academic pricing. Confirm vendor part numbers and prices before purchase.,,,,,,,,,,
# Architectural commitment: §9 #1 — hybrid actuator distribution. Hip + Knee = cycloidal reducer (corpus sumitomo-cyclo). Ankle = QDD (corpus mini-cheetah / cassie-osu).,,,,,,,,,,
# Quantities are PER LEG. Double for the bipedal pair.,,,,,,,,,,
hip_yaw_reducer,RV-E-30E,"Onvio S-series style cycloidal reducer (alternate: commodity Chinese cycloidal RV-30E), ratio 30:1, output rated 100 N·m continuous / 200 N·m peak, hip-yaw flange",Onvio LLC,Onvio,https://www.onviollc.com,420.00,1,420.00,sumitomo-cyclo,"estimate; confirm before purchase. Hip yaw peak ~80 N·m design target sits comfortably below the 200 N·m peak rating with 2.5x margin. Sumitomo CYCLO 6000 is the price-premium alternative at ~$900."
hip_yaw_motor,EC-i-50-449464,"Maxon EC-i 50 brushless DC, 200 W, 48 V flat-rotor; nom. torque 0.42 N·m, peak 1.5 N·m, no-load 6500 rpm",Maxon,Maxon Group US,https://www.maxongroup.us/maxon/view/product/449464,640.00,1,640.00,mit-cheetah-2,"estimate; confirm before purchase. Catalog ID approximate; verify exact 48V variant before order. Pair with 30:1 cycloidal yields ~12.6 N·m continuous / ~45 N·m peak motor-torque-limited; cycloidal preload sets practical ceiling."
hip_yaw_controller,moteus-n1,"mjbots Moteus n1 brushless servo controller, CAN-FD, 6S–14S, 100A peak, integrated MCU and FOC firmware",mjbots Robotic Systems,mjbots.com,https://mjbots.com/products/moteus-n1,199.00,1,199.00,mjbots-moteus,"price confirmed from public mjbots listing as of 2026-Q1; verify before purchase."
hip_yaw_encoder,AS5048A-HTSP-500,"AMS AS5048A 14-bit magnetic rotary encoder, SPI, with diametric N35H magnet, mounted on cycloidal output flange",ams OSRAM,Mouser,https://www.mouser.com/ProductDetail/AMS-OSRAM/AS5048A-HTSP-500B,14.85,1,14.85,sensing-proprioceptive-actuator,"price approximately confirmed. Output-shaft absolute encoder (post-reduction)."
hip_yaw_torque_sensor,SGT-3F-350,"4-element foil strain-gauge bridge + carrier ring for cycloidal output torque sensing, 350 Ω, 24-bit ADC (HX711-class)",Omega/Vishay,Omega Engineering,https://www.omega.com,55.00,1,55.00,dlr-toro,"estimate; confirm before purchase. Optional but recommended; pairs with sensing-proprioceptive-actuator chain."
hip_yaw_housing,custom-mill-hipyaw,"Aluminum 7075 milled hip-yaw housing, ~180 g part, hosts cycloidal flange + motor mount face (Xometry quote)",local machine shop,Xometry,https://www.xometry.com,165.00,1,165.00,,"estimate; confirm before purchase. CNC 2-op aluminum, 1 hr at $90/hr + material."
hip_yaw_bearings,6907-2RS,"Deep-groove ball bearing, 35 mm ID x 55 mm OD x 10 mm, sealed, NTN/SKF",NTN,McMaster-Carr,https://www.mcmaster.com/6661K27/,18.50,2,37.00,,"estimate; confirm before purchase. One pair preloaded against cycloidal output flange."
hip_abd_reducer,RV-E-50E,"Cycloidal reducer ratio 50:1, output rated 150 N·m continuous / 300 N·m peak, hip-abduction flange",Onvio LLC,Onvio,https://www.onviollc.com,485.00,1,485.00,sumitomo-cyclo,"estimate; confirm before purchase. Hip abduction peak ~120 N·m sits below 300 N·m peak rating with 2.5x margin."
hip_abd_motor,EC-i-50-449464,"Maxon EC-i 50 brushless DC, 200 W, 48 V flat-rotor (same SKU as hip-yaw motor)",Maxon,Maxon Group US,https://www.maxongroup.us/maxon/view/product/449464,640.00,1,640.00,mit-cheetah-2,"estimate; confirm before purchase. With 50:1 yields ~21 N·m cont / ~75 N·m peak — cycloidal-preload-limited to ~150 N·m intermittent."
hip_abd_controller,moteus-n1,"mjbots Moteus n1 (per joint)",mjbots Robotic Systems,mjbots.com,https://mjbots.com/products/moteus-n1,199.00,1,199.00,mjbots-moteus,"price confirmed."
hip_abd_encoder,AS5048A-HTSP-500,"AMS AS5048A 14-bit magnetic rotary encoder + magnet on hip-abd output",ams OSRAM,Mouser,https://www.mouser.com/ProductDetail/AMS-OSRAM/AS5048A-HTSP-500B,14.85,1,14.85,sensing-proprioceptive-actuator,"price approximately confirmed."
hip_abd_torque_sensor,SGT-3F-350,"Output-shaft strain-gauge bridge for hip-abd (optional v0.1)",Omega/Vishay,Omega Engineering,https://www.omega.com,55.00,1,55.00,dlr-toro,"estimate; confirm before purchase."
hip_abd_housing,custom-mill-hipabd,"Aluminum 7075 milled hip-abd housing, ~200 g part",local machine shop,Xometry,https://www.xometry.com,175.00,1,175.00,,"estimate; confirm before purchase."
hip_abd_bearings,6907-2RS,"Deep-groove ball bearing, 35 mm ID x 55 mm OD x 10 mm, sealed",NTN,McMaster-Carr,https://www.mcmaster.com/6661K27/,18.50,2,37.00,,"estimate; confirm before purchase."
hip_flex_reducer,RV-E-50E-HT,"Cycloidal reducer ratio 50:1, high-torque variant, output rated 200 N·m continuous / 400 N·m peak, hip-flexion flange",Onvio LLC,Onvio,https://www.onviollc.com,540.00,1,540.00,sumitomo-cyclo,"estimate; confirm before purchase. Hip flexion peak ~150 N·m design target — single-leg-stance gravitational moment dominates. 400 N·m peak rating gives 2.6x safety margin."
hip_flex_motor,EC-i-52-526262,"Maxon EC-i 52 brushless DC, 320 W, 48 V flat-rotor; nom. 0.65 N·m, peak 2.5 N·m",Maxon,Maxon Group US,https://www.maxongroup.us/maxon/view/product/526262,820.00,1,820.00,mit-cheetah-2,"estimate; confirm before purchase. Larger motor (320 W vs 200 W) for hip flexion — single highest-torque joint in the leg. T-Motor U10II at $450 is a hobbyist alternative with similar mech specs."
hip_flex_controller,moteus-n1,"mjbots Moteus n1 (per joint)",mjbots Robotic Systems,mjbots.com,https://mjbots.com/products/moteus-n1,199.00,1,199.00,mjbots-moteus,"price confirmed."
hip_flex_encoder,AS5048A-HTSP-500,"AMS AS5048A 14-bit magnetic rotary encoder + magnet on hip-flex output",ams OSRAM,Mouser,https://www.mouser.com/ProductDetail/AMS-OSRAM/AS5048A-HTSP-500B,14.85,1,14.85,sensing-proprioceptive-actuator,"price approximately confirmed."
hip_flex_torque_sensor,SGT-3F-350,"Output-shaft strain-gauge bridge for hip-flex (recommended; high-load joint)",Omega/Vishay,Omega Engineering,https://www.omega.com,55.00,1,55.00,dlr-toro,"estimate; confirm before purchase."
hip_flex_housing,custom-mill-hipflex,"Aluminum 7075 milled hip-flex housing, ~240 g part",local machine shop,Xometry,https://www.xometry.com,195.00,1,195.00,,"estimate; confirm before purchase."
hip_flex_bearings,6908-2RS,"Deep-groove ball bearing, 40 mm ID x 62 mm OD x 12 mm, sealed (larger for flex)",NTN,McMaster-Carr,https://www.mcmaster.com/6661K28/,22.50,2,45.00,,"estimate; confirm before purchase."
knee_reducer,RV-E-30E-HT,"Cycloidal reducer ratio 30:1, high-torque variant, output rated 150 N·m continuous / 300 N·m peak, knee flange",Onvio LLC,Onvio,https://www.onviollc.com,460.00,1,460.00,sumitomo-cyclo,"estimate; confirm before purchase. Knee peak ~150 N·m for stair-climb / squat-recovery; 300 N·m peak rating gives 2x margin. 30:1 ratio chosen lower than hip-flex 50:1 for knee velocity headroom."
