category,part_number,description,manufacturer,supplier,supplier_url,unit_price_usd,quantity,extended_price_usd,corpus_citation,notes
# Free Humanoid Platform — Hand v0.1 reference BOM,,,,,,,,,,
# REFERENCE BOM — NOT VALIDATED BY PHYSICAL BUILD. All prices ~2026 retail USD at unit-quantity-1 academic pricing. Confirm vendor part numbers and prices before purchase.,,,,,,,,,,
# Architectural commitment: §9 #4 — synergy-reduced underactuated 5-finger hand (Pisa-IIT SoftHand class). Single motor drives 5 fingers via a synergy tendon network with passive return springs.,,,,,,,,,,
drive_motor,496661,"Maxon EC-i 30 brushless DC, 70 W, 24 V, flat-rotor; nom. torque 78 mNm, peak 750 mNm, no-load 7000 rpm",Maxon,Maxon Group US,https://www.maxongroup.us/maxon/view/product/496661,485.00,1,485.00,act-aloha,"estimate; confirm before purchase. Catalog ID format follows Maxon convention; verify exact 24V variant against current Maxon catalog."
drive_reducer,166940,"Maxon GP 32 HP planetary head, ratio 14:1, single-stage, max continuous torque 4.5 Nm, max intermittent 6.25 Nm",Maxon,Maxon Group US,https://www.maxongroup.us/maxon/view/product/166940,310.00,1,310.00,act-aloha,"estimate; confirm before purchase. 14:1 is the nearest catalog ratio to the ~10:1 design target."
drive_encoder,ENX-16-EASY-1024,"Maxon ENX 16 EASY incremental encoder, 1024 cpr, mounts to EC-i 30 rear shaft (housekeeping; AS5048A on output shaft is primary)",Maxon,Maxon Group US,https://www.maxongroup.us/maxon,95.00,1,95.00,mjbots-moteus,"estimate; confirm before purchase. Optional but recommended for commutation feedback in addition to magnetic encoder."
motor_controller,moteus-n1,"mjbots Moteus n1 brushless servo controller, CAN-FD, 6S–14S, 100A peak, integrated MCU and FOC firmware",mjbots Robotic Systems,mjbots.com,https://mjbots.com/products/moteus-n1,199.00,1,199.00,mjbots-moteus,"price confirmed from public mjbots listing as of 2026-Q1; verify before purchase."
motor_controller_power,JST-PH-2pin-XT30,"XT30 power pigtail + 18 AWG silicone wire, 0.5 m for Moteus n1 power input",Generic / Amass,Amazon,https://www.amazon.com/dp/B07Z9JGY6X,8.50,1,8.50,,"estimate; confirm before purchase."
motor_controller_can,molex-pico-clasp-4pin,"Molex PicoClasp 4-pin CAN-FD harness pigtail (Moteus n1 CAN connector mate)",Molex,Digi-Key,https://www.digikey.com/en/products/detail/molex/5018761400,3.40,2,6.80,,"estimate; confirm before purchase."
position_sensor,AS5048A-HTSP-500,"AMS AS5048A 14-bit magnetic rotary encoder, SPI, with diametric magnet",ams OSRAM,Mouser,https://www.mouser.com/ProductDetail/AMS-OSRAM/AS5048A-HTSP-500B,14.85,1,14.85,mjbots-moteus,"price confirmed approximately; verify before purchase. Used as absolute output-shaft position sensor on motor pulley spool."
position_sensor_magnet,N35H-DIA6X2.5,"6 mm dia x 2.5 mm diametrically magnetized N35H magnet for AS5048A",ams OSRAM,Mouser,https://www.mouser.com/ProductDetail/AMS-OSRAM/MAGNET-DIAM-6X2.5,3.50,1,3.50,,"estimate; confirm before purchase."
tension_sensor,CZL635,"Phidgets CZL635 micro load cell, 0–5 kgf, S-type, with cable terminator interface",Phidgets,Phidgets,https://www.phidgets.com/?prodid=226,32.00,1,32.00,gelsight,"estimate; confirm before purchase. Inline at synergy tendon terminator to close the tension-control loop."
tension_sensor_amp,HX711-breakout,"Sparkfun HX711 24-bit load-cell ADC breakout, I2C/serial out",Sparkfun,Sparkfun,https://www.sparkfun.com/products/13879,11.95,1,11.95,,"estimate; confirm before purchase."
tendon_line,8829T31,"Samson AmSteel-Blue 1.5 mm UHMWPE 12-strand braid, ~400 lb tensile, sold by the ft",Samson Rope,McMaster-Carr,https://www.mcmaster.com/8829T31/,3.20,3,9.60,shadow-dexterous-hand,"estimate; confirm before purchase. ~3 m total stock; pre-stretch before final routing. McMaster P/N is approximate — verify diameter match."
tendon_line_alt,Spectra-HL-25,"Honeywell Spectra HL-25, 25 lb test fishing line, 100 m spool (alternate / spare)",Honeywell,Mouser/Bass-Pro,https://www.basspro.com,18.00,1,18.00,shadow-dexterous-hand,"estimate; confirm before purchase. Cheaper alternate; lower abrasion resistance than AmSteel-Blue."
pulley,MBPB8-3-2,"Misumi miniature ball-bearing pulley, 8 mm OD x 3 mm bore x 2 mm flange, PEEK ring",Misumi,Misumi USA,https://us.misumi-ec.com/vona2/detail/110302689730/,7.20,12,86.40,shadow-dexterous-hand,"estimate; confirm before purchase. ~10 routing pulleys + 2 spares. Substitute Delrin (lower cost) acceptable for low-load segments."
joint_axle,PB3-30-NN-A,"Misumi precision dowel pin, 3 mm dia x 30 mm length, hardened steel, h7 fit",Misumi,Misumi USA,https://us.misumi-ec.com/vona2/detail/110300086170/,1.20,15,18.00,shadow-dexterous-hand,"estimate; confirm before purchase. One per phalanx joint (3 phalanges x 5 fingers = 15)."
bushing,8458K71,"McMaster oil-impregnated SAE 841 bronze flanged sleeve bushing, 3 mm ID x 5 mm OD x 4 mm L",Bunting,McMaster-Carr,https://www.mcmaster.com/8458K71/,2.85,30,85.50,shadow-dexterous-hand,"estimate; confirm before purchase. Two per joint (both sides). Verify metric P/N — 8458K71 is the imperial line; confirm metric SKU at order time."
return_spring,LTR-040A-04S,"Lee Spring torsion spring, 0.040 in wire, 0.187 in OD, 90° free angle, music wire",Lee Spring,Lee Spring,https://www.leespring.com/torsion-springs/LTR-040A-04S,1.95,15,29.25,pisa-iit-softhand,"estimate; confirm before purchase. One per phalanx joint for passive open posture."
fingertip_pad,DragonSkin-30-Trial,"Smooth-On Dragon Skin 30 platinum-cure silicone, 30A durometer, trial pint kit (1 lb)",Smooth-On,Smooth-On Direct,https://www.smooth-on.com/products/dragon-skin-30/,38.00,1,38.00,gelsight,"price approximately confirmed; verify before purchase. Skin material for 5 fingertips + palm pad."
silicone_pigment,SO-Strong-Skin-Tone,"Smooth-On So-Strong skin-tone pigment, 1 oz",Smooth-On,Smooth-On Direct,https://www.smooth-on.com/products/so-strong/,18.00,1,18.00,,"estimate; confirm before purchase. Optional cosmetic."
silicone_primer,Sil-Poxy,"Smooth-On Sil-Poxy silicone-to-substrate adhesive, 1 oz tube",Smooth-On,Smooth-On Direct,https://www.smooth-on.com/products/sil-poxy/,15.00,1,15.00,,"estimate; confirm before purchase. Bonds skin to PA12 skeleton."
skeleton_print,Hubs-PA12-MJF-Hand,"HP MJF PA12 / SLS PA12 print run for 5 finger phalanx sets + palm housing + tendon-routing channels (~250 g part)",Hubs / Shapeways / Materialise,Hubs,https://www.hubs.com,320.00,1,320.00,pisa-iit-softhand,"estimate; confirm before purchase. Cost varies widely by service bureau; expect $250–$450 for one prototype hand."
skeleton_aluminum_stock,8975K426,"McMaster 6061-T6 aluminum bar, 1 in x 2 in x 12 in for high-load tendon-routing channel inserts",McMaster-Carr,McMaster-Carr,https://www.mcmaster.com/8975K426/,28.50,1,28.50,,"estimate; confirm before purchase. Used for two milled metal channel inserts at the high-tension synergy junction in the palm."
mill_machining,custom-mill-aluminum,"Custom CNC milling for aluminum tendon-routing channel inserts (estimate, 2 hr at $90/hr; alternatively water-jet DXF at ~$60/hr)",local machine shop,Local / Xometry,https://www.xometry.com,180.00,1,180.00,,"estimate; confirm before purchase. Optional if SLS PA12 routing channels are deemed sufficient for v0.1; mark as optional line item."
motor_mount_bracket,custom-mill-mount,"Aluminum 6061 motor mount bracket, milled from 6061 stock to interface Maxon GP 32 HP face to palm housing (~80 g)",local machine shop,Local / Xometry,https://www.xometry.com,95.00,1,95.00,,"estimate; confirm before purchase. Custom one-off; alternatively 3D-print first iteration in PA12-CF."
fasteners_assortment,92095A-ASSORT-M2-M3,"McMaster M2 / M2.5 / M3 socket-head cap-screw assortment kit, A2 stainless, 4-25 mm lengths",McMaster-Carr,McMaster-Carr,https://www.mcmaster.com/91290A115/,42.00,1,42.00,,"estimate; confirm before purchase. SHCS plus matching washers and locknuts."
threadlocker,LT-222-10ml,"Loctite 222 low-strength threadlocker, 10 mL bottle (purple)",Henkel Loctite,McMaster-Carr,https://www.mcmaster.com/91458A115/,14.50,1,14.50,,"estimate; confirm before purchase."
grease,KRYTOX-GPL-205,"Krytox GPL 205 PFPE grease, 2 oz tube — for pulley bushings and dowel pins",Chemours,McMaster-Carr,https://www.mcmaster.com/1245K73/,46.00,1,46.00,,"estimate; confirm before purchase. Premium; substitute lithium grease acceptable at ~$8."
arm_connector,FGG-0B-308-CLAD,"LEMO 0B series 8-pin push-pull connector, plug, solder cup (mates to receptacle on forearm)",LEMO,Mouser,https://www.mouser.com/ProductDetail/LEMO/FGG-0B-308-CLAD52,68.00,1,68.00,,"estimate; confirm before purchase. Carries 24 V power + CAN-FD + 4 spare lines from forearm to hand. Molex Mini-Fit Jr 8-circuit at ~$8 is a hobbyist alternative."
arm_connector_receptacle,EGG-0B-308-CLL,"LEMO 0B series 8-pin push-pull connector, receptacle, panel-mount, solder cup",LEMO,Mouser,https://www.mouser.com/ProductDetail/LEMO/EGG-0B-308-CLL,72.00,1,72.00,,"estimate; confirm before purchase."
wiring_harness,silicone-26awg-bundle,"Silicone-jacket 26 AWG stranded wire, 6-color assortment, 5 m total",Generic,Adafruit,https://www.adafruit.com/product/2470,18.50,1,18.50,,"estimate; confirm before purchase."
